C320_SANTA_CRUZ(config)#show gpon onu state gpon-olt_1/1/1
OnuIndex   Admin State  OMCC State  Phase State  Channel    
--------------------------------------------------------------
1/1/1:1     enable       disable     OffLine      1(GPON)
1/1/1:2     enable       enable      working      1(GPON)
1/1/1:4     enable       disable     OffLine      1(GPON)
1/1/1:5     enable       disable     OffLine      1(GPON)
1/1/1:6     enable       disable     OffLine      1(GPON)
1/1/1:7     enable       disable     OffLine      1(GPON)
1/1/1:8     enable       enable      working      1(GPON)
1/1/1:9     enable       disable     OffLine      1(GPON)
1/1/1:10    enable       enable      working      1(GPON)
1/1/1:12    enable       enable      working      1(GPON)
1/1/1:14    enable       enable      working      1(GPON)
1/1/1:16    enable       enable      working      1(GPON)
1/1/1:20    enable       enable      working      1(GPON)
1/1/1:24    enable       enable      working      1(GPON)
1/1/1:28    enable       enable      working      1(GPON)
1/1/1:31    enable       enable      working      1(GPON)
1/1/1:33    enable       enable      working      1(GPON)
1/1/1:34    enable       disable     DyingGasp    1(GPON)
1/1/1:35    enable       enable      working      1(GPON)
1/1/1:37    enable       enable      working      1(GPON)
1/1/1:41    enable       enable      working      1(GPON)
1/1/1:43    enable       enable      working      1(GPON)
1/1/1:44    enable       enable      working      1(GPON)
1/1/1:45    enable       enable      working      1(GPON)
1/1/1:46    enable       enable      working      1(GPON)
1/1/1:47    enable       enable      working      1(GPON)
1/1/1:48    enable       enable      working      1(GPON)
1/1/1:49    enable       enable      working      1(GPON)
1/1/1:50    enable       enable      working      1(GPON)
1/1/1:51    enable       enable      working      1(GPON)
1/1/1:52    enable       enable      working      1(GPON)
1/1/1:53    enable       enable      working      1(GPON)
1/1/1:54    enable       enable      working      1(GPON)
1/1/1:55    enable       enable      working      1(GPON)
1/1/1:56    enable       enable      working      1(GPON)
1/1/1:57    enable       enable      working      1(GPON)
1/1/1:58    enable       enable      working      1(GPON)
1/1/1:59    enable       enable      working      1(GPON)
1/1/1:60    enable       enable      working      1(GPON)
1/1/1:61    enable       enable      working      1(GPON)
1/1/1:62    enable       enable      working      1(GPON)
1/1/1:63    enable       enable      working      1(GPON)
1/1/1:64    enable       enable      working      1(GPON)
1/1/1:65    enable       enable      working      1(GPON)
1/1/1:66    enable       enable      working      1(GPON)
1/1/1:67    enable       enable      working      1(GPON)
1/1/1:68    enable       enable      working      1(GPON)
1/1/1:69    enable       enable      working      1(GPON)
1/1/1:70    enable       enable      working      1(GPON)
1/1/1:71    enable       enable      working      1(GPON)
1/1/1:72    enable       enable      working      1(GPON)
1/1/1:73    enable       enable      working      1(GPON)
1/1/1:74    enable       enable      working      1(GPON)
1/1/1:75    enable       enable      working      1(GPON)
1/1/1:76    enable       enable      working      1(GPON)
1/1/1:77    enable       enable      working      1(GPON)
1/1/1:78    enable       enable      working      1(GPON)
1/1/1:79    enable       enable      working      1(GPON)
1/1/1:80    enable       enable      working      1(GPON)
1/1/1:81    enable       enable      working      1(GPON)
1/1/1:82    enable       enable      working      1(GPON)
1/1/1:83    enable       enable      working      1(GPON)
1/1/1:84    enable       enable      working      1(GPON)
1/1/1:85    enable       enable      working      1(GPON)
1/1/1:86    enable       enable      working      1(GPON)
1/1/1:87    enable       enable      working      1(GPON)
1/1/1:88    enable       enable      working      1(GPON)
1/1/1:89    enable       enable      working      1(GPON)
1/1/1:90    enable       enable      working      1(GPON)
1/1/1:91    enable       enable      working      1(GPON)
1/1/1:92    enable       enable      working      1(GPON)
1/1/1:93    enable       enable      working      1(GPON)
1/1/1:94    enable       enable      working      1(GPON)
1/1/1:95    enable       enable      working      1(GPON)
1/1/1:96    enable       enable      working      1(GPON)
1/1/1:97    enable       enable      working      1(GPON)
1/1/1:98    enable       enable      working      1(GPON)
1/1/1:99    enable       enable      working      1(GPON)
1/1/1:100   enable       enable      working      1(GPON)
1/1/1:102   enable       enable      working      1(GPON)
1/1/1:103   enable       enable      working      1(GPON)
1/1/1:104   enable       enable      working      1(GPON)
1/1/1:105   enable       enable      working      1(GPON)
1/1/1:106   enable       disable     DyingGasp    1(GPON)
1/1/1:107   enable       enable      working      1(GPON)
1/1/1:108   enable       enable      working      1(GPON)
1/1/1:109   enable       enable      working      1(GPON)
1/1/1:110   enable       enable      working      1(GPON)
1/1/1:111   enable       disable     DyingGasp    1(GPON)
1/1/1:112   enable       enable      working      1(GPON)
1/1/1:113   enable       enable      working      1(GPON)
1/1/1:114   enable       enable      working      1(GPON)
1/1/1:115   enable       enable      working      1(GPON)
1/1/1:116   enable       enable      working      1(GPON)
1/1/1:117   enable       enable      working      1(GPON)
1/1/1:118   enable       enable      working      1(GPON)
1/1/1:119   enable       enable      working      1(GPON)
1/1/1:120   enable       enable      working      1(GPON)
1/1/1:121   enable       enable      working      1(GPON)
1/1/1:122   enable       enable      working      1(GPON)
1/1/1:123   enable       enable      working      1(GPON)
1/1/1:124   enable       enable      working      1(GPON)
1/1/1:125   enable       enable      working      1(GPON)
1/1/1:126   enable       enable      working      1(GPON)
1/1/1:127   enable       disable     DyingGasp    1(GPON)
1/1/1:128   enable       enable      working      1(GPON)
ONU Number: 96/106     
